Age Group,Total Population,Male Population,Female Population
Total,36855,18770,18090
0 to 14 years,12080,6175,5905
0 to 4 years,4385,2295,2085
5 to 9 years,3990,2030,1965
10 to 14 years,3705,1850,1850
15 to 64 years,23170,11740,11430
15 to 19 years,3085,1535,1550
20 to 24 years,2860,1475,1385
25 to 29 years,2990,1470,1520
30 to 34 years,3040,1555,1485
35 to 39 years,2370,1195,1175
40 to 44 years,2110,1085,1025
45 to 49 years,1930,965,960
50 to 54 years,1985,995,990
55 to 59 years,1615,840,770
60 to 64 years,1190,625,565
65 years and over,1605,855,755
65 to 69 years,720,395,325
70 to 74 years,485,260,225
75 to 79 years,220,115,105
80 to 84 years,105,50,50
85 years and over,80,35,50
85 to 89 years,60,30,35
90 to 94 years,20,10,15
95 to 99 years,0,0,0
100 years and over,0,0,0
